territory,habitat,mid,lowerCI,upperCI,variable
British Virgin Islands,total,29880.98568074837,34840.829032414666,24921.142329082075,"Mangrove+Marsh Stock
(MgC)"
Aruba,total,28277.05560473819,32970.66804926403,23583.44316021235,"Mangrove+Marsh Stock
(MgC)"
Kuwait,total,25576.994256713864,32482.162619186474,18671.825894241254,"Mangrove+Marsh Stock
(MgC)"
Saint Kitts and Nevis,total,20036.050199942314,23361.766139823827,16710.3342600608,"Mangrove+Marsh Stock
(MgC)"
Saint Vincent and the Grenadines,total,17963.524796838235,20945.229282359724,14981.820311316747,"Mangrove+Marsh Stock
(MgC)"
Barbados,total,13469.479183520509,15705.232297308641,11233.726069732376,"Mangrove+Marsh Stock
(MgC)"
Guam,total,11968.618695687615,13955.249073302,9981.98831807323,"Mangrove+Marsh Stock
(MgC)"
Northern Mariana Islands,total,10478.355340184207,12217.62196363744,8739.088716730974,"Mangrove+Marsh Stock
(MgC)"
Mauritius,total,8713.261849878121,10159.546598285498,7266.977101470744,"Mangrove+Marsh Stock
(MgC)"
Kiribati,total,6879.860667243652,8021.82537869571,5737.895955791593,"Mangrove+Marsh Stock
(MgC)"
Wallis and Futuna,total,6778.934815516478,7904.147187536079,5653.722443496877,"Mangrove+Marsh Stock
(MgC)"
Saint Martin,total,5864.061673487191,6837.417359131298,4890.705987843084,"Mangrove+Marsh Stock
(MgC)"
Réunion,total,5371.186529663087,6821.276674005709,3921.096385320465,"Mangrove+Marsh Stock
(MgC)"
Canarias,total,3241.4587632385255,4116.574043615885,2366.343482861166,"Mangrove+Marsh Stock
(MgC)"
Syria,total,3102.120555725098,3939.6178981794815,2264.623213270714,"Mangrove+Marsh Stock
(MgC)"
Israel,total,2341.574606048584,2973.7429807125322,1709.4062313846357,"Mangrove+Marsh Stock
(MgC)"
Anguilla,total,1916.0220079833985,2234.0559951977307,1597.9880207690662,"Mangrove+Marsh Stock
(MgC)"
Saint Barthelemy,total,1144.8036179321289,1334.8256832692316,954.7815525950261,"Mangrove+Marsh Stock
(MgC)"
Nauru,total,989.489970727539,1153.7320511357295,825.2478903193485,"Mangrove+Marsh Stock
(MgC)"
French Polynesia,total,640.3008169067384,746.5821753509305,534.0194584625464,"Mangrove+Marsh Stock
(MgC)"
Marshall Islands,total,457.0295223632813,532.8903009275301,381.1687437990324,"Mangrove+Marsh Stock
(MgC)"
Sint Maarten,total,22.82458524308747,26.61316064625445,19.03600983992049,"Mangrove+Marsh Stock
(MgC)"
American Samoa,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
Bermuda,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
Cabo Verde,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
Dominica,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
Iceland,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
Jordan,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
Malta,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
Montserrat,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
Palestinian Territory,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
United States Minor Outlying Islands,total,0,0,0,"Mangrove+Marsh Stock
(MgC)"
