study_id,site_id,core_id,depth_min,depth_max,radioisotope,radioactivity,error
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,21,22,total_pb210_activity,27.918666678573526,1.3284506368262097
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,22,23,total_pb210_activity,32.59577747650538,2.0086292311788627
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,23,24,total_pb210_activity,28.871781911984147,1.612216771596771
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,24,25,total_pb210_activity,32.674378112533056,1.6256477571669568
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,25,26,total_pb210_activity,27.76498911008216,1.645798347866415
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,26,27,total_pb210_activity,35.44185236822939,2.14397100498821
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,27,28,total_pb210_activity,25.43477462945387,1.389562076978445
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,28,29,total_pb210_activity,30.583448834822548,1.6800574902420378
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,29,30,total_pb210_activity,25.64796115922608,1.681514955375411
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,30,31,total_pb210_activity,31.387398247960103,1.810473678116652
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,31,32,total_pb210_activity,26.534457309423427,1.3140172052047725
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,32,33,total_pb210_activity,23.748369154792396,1.2948316969727618
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,33,34,total_pb210_activity,20.633833922590053,1.1882310762579844
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,34,35,total_pb210_activity,21.357713546798017,1.343847833562318
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,39,40,total_pb210_activity,24.226680379992967,1.217084899209589
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,41,42,total_pb210_activity,20.583810331648294,1.0782893152089512
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,43,44,total_pb210_activity,21.325797732485857,1.3028764458285766
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,47,48,total_pb210_activity,21.879201336957745,1.043967853654695
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,49,50,total_pb210_activity,22.760152785336892,1.182672367833519
Arias-Ortiz_et_al_2021,US-Tw1,Typha W2,0,2,total_pb210_activity,76.38525422768716,4.050303412421392
Arias-Ortiz_et_al_2021,US-Tw1,Typha W2,2,4,total_pb210_activity,70.06694318976311,3.8092670762785272
Arias-Ortiz_et_al_2021,US-Tw1,Typha W2,4,6,total_pb210_activity,50.49236772539242,2.073588523268173
Arias-Ortiz_et_al_2021,US-Tw1,Typha W2,6,8,total_pb210_activity,50.92078832530293,2.117714213888513
